,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
19331,537852,20668,DISCO BALL CHRISTMAS DECORATION,144,2010-12-08 15:56:00,0.12,17340.0,United Kingdom
19715,537887,79000,MOROCCAN TEA GLASS,144,2010-12-09 10:00:00,0.65,18092.0,United Kingdom
19979,537981,22560,TRADITIONAL MODELLING CLAY,250,2010-12-09 11:35:00,1.06,17857.0,United Kingdom
19980,537981,22492,MINI PAINT SET VINTAGE ,1394,2010-12-09 11:35:00,0.55,17857.0,United Kingdom
19981,537981,22536,MAGIC DRAWING SLATE PURDEY,400,2010-12-09 11:35:00,0.36,17857.0,United Kingdom
19982,537981,21190,PINK HEARTS PAPER GARLAND,110,2010-12-09 11:35:00,1.45,17857.0,United Kingdom
20037,538004,22114,,144,2010-12-09 12:11:00,0.0,,United Kingdom
20605,538068,22154,ANGEL DECORATION 3 BUTTONS ,432,2010-12-09 14:05:00,0.36,17978.0,United Kingdom
22295,538160,20956,,288,2010-12-09 17:18:00,0.0,,United Kingdom
23254,538191,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,240,2010-12-10 10:49:00,1.88,15061.0,United Kingdom
23255,538191,71459,HANGING JAM JAR T-LIGHT HOLDER,144,2010-12-10 10:49:00,0.72,15061.0,United Kingdom
23258,538191,22659,LUNCH BOX I LOVE LONDON,128,2010-12-10 10:49:00,1.65,15061.0,United Kingdom
23260,538191,22467,GUMBALL COAT RACK,108,2010-12-10 10:49:00,2.1,15061.0,United Kingdom
23263,538191,22423,REGENCY CAKESTAND 3 TIER,272,2010-12-10 10:49:00,10.95,15061.0,United Kingdom
23265,538191,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-10 10:49:00,0.42,15061.0,United Kingdom
23510,538204,21704,BAG 250g SWIRLY MARBLES,216,2010-12-10 11:23:00,0.72,16656.0,United Kingdom
23934,538279,21326,AGED GLASS SILVER T-LIGHT HOLDER,192,2010-12-10 12:48:00,0.55,14952.0,United Kingdom
23936,538279,84949,SILVER HANGING T-LIGHT HOLDER,144,2010-12-10 12:48:00,1.45,14952.0,United Kingdom
24961,538351,21212,PACK OF 72 RETROSPOT CAKE CASES,113,2010-12-10 15:17:00,2.13,,United Kingdom
24973,538351,21479,WHITE SKULL HOT WATER BOTTLE ,106,2010-12-10 15:17:00,8.47,,United Kingdom
25001,538351,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,104,2010-12-10 15:17:00,6.77,,United Kingdom
25016,538351,22355,CHARLOTTE BAG SUKI DESIGN,267,2010-12-10 15:17:00,2.51,,United Kingdom
25062,538351,84029E,RED WOOLLY HOTTIE WHITE HEART.,115,2010-12-10 15:17:00,8.47,,United Kingdom
25092,538353,82583,HOT BATHS METAL SIGN,144,2010-12-10 15:31:00,1.69,13798.0,United Kingdom
25099,538353,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,144,2010-12-10 15:31:00,1.06,13798.0,United Kingdom
25103,538353,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-10 15:31:00,0.42,13798.0,United Kingdom
25105,538353,35924,HANGING FAIRY CAKE DECORATION,120,2010-12-10 15:31:00,1.69,13798.0,United Kingdom
25111,538353,35924,HANGING FAIRY CAKE DECORATION,144,2010-12-10 15:31:00,1.69,13798.0,United Kingdom
25115,538353,21231,SWEETHEART CERAMIC TRINKET BOX,144,2010-12-10 15:31:00,1.06,13798.0,United Kingdom
25116,538353,21232,STRAWBERRY CERAMIC TRINKET BOX,144,2010-12-10 15:31:00,1.06,13798.0,United Kingdom
25140,538354,22492,MINI PAINT SET VINTAGE ,144,2010-12-10 15:45:00,0.65,16873.0,United Kingdom
25189,538356,20668,DISCO BALL CHRISTMAS DECORATION,288,2010-12-10 15:56:00,0.1,14062.0,United Kingdom
25327,538367,16033,MINI HIGHLIGHTER PENS,120,2010-12-12 10:48:00,0.12,14800.0,United Kingdom
25920,538420,17096,ASSORTED LAQUERED INCENSE HOLDERS,1728,2010-12-12 12:03:00,0.17,12875.0,United Kingdom
26750,538522,21876,POTTERING MUG,288,2010-12-13 09:09:00,0.42,16210.0,United Kingdom
27289,538526,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,288,2010-12-13 09:49:00,1.25,13225.0,United Kingdom
27290,538526,85035C,ROSE 3 WICK MORRIS BOX CANDLE,288,2010-12-13 09:49:00,1.25,13225.0,United Kingdom
27291,538526,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,144,2010-12-13 09:49:00,1.69,13225.0,United Kingdom
27292,538526,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,144,2010-12-13 09:49:00,1.69,13225.0,United Kingdom
27297,538527,22178,VICTORIAN GLASS HANGING T-LIGHT,192,2010-12-13 09:52:00,1.06,15361.0,United Kingdom
27963,538591,85015,SET OF 12  VINTAGE POSTCARD SET,144,2010-12-13 11:44:00,0.65,14741.0,United Kingdom
27981,538593,22952,60 CAKE CASES VINTAGE CHRISTMAS,120,2010-12-13 11:51:00,0.42,16701.0,United Kingdom
27992,538594,84212,"ASSORTED FLOWER COLOUR ""LEIS""",480,2010-12-13 11:57:00,0.42,16927.0,United Kingdom
28076,538625,22600,CHRISTMAS RETROSPOT STAR WOOD,144,2010-12-13 12:50:00,0.72,14544.0,United Kingdom
29078,538706,22154,ANGEL DECORATION 3 BUTTONS ,144,2010-12-14 10:34:00,0.42,14667.0,United Kingdom
29731,538817,22834,HAND WARMER BABUSHKA DESIGN,288,2010-12-14 12:38:00,0.85,16191.0,United Kingdom
29820,538827,75178,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,144,2010-12-14 12:59:00,0.42,14298.0,United Kingdom
29900,538827,84817,DANISH ROSE DECORATIVE PLATE,144,2010-12-14 12:59:00,0.42,14298.0,United Kingdom
29907,538828,22915,ASSORTED BOTTLE TOP  MAGNETS ,120,2010-12-14 13:00:00,0.36,14298.0,United Kingdom
29908,538829,22834,HAND WARMER BABUSHKA DESIGN,384,2010-12-14 13:00:00,0.85,16191.0,United Kingdom
29915,538831,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2010-12-14 13:02:00,1.45,18144.0,United Kingdom
30341,538858,21949,SET OF 6 STRAWBERRY CHOPSTICKS,120,2010-12-14 13:58:00,1.06,16553.0,United Kingdom
30344,538858,84991,60 TEATIME FAIRY CAKE CASES,120,2010-12-14 13:58:00,0.42,16553.0,United Kingdom
30347,538859,22740,POLKADOT PEN,192,2010-12-14 13:59:00,0.85,16553.0,United Kingdom
30364,538861,22444,,460,2010-12-14 14:04:00,0.0,,United Kingdom
30504,538868,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,144,2010-12-14 14:42:00,0.29,17017.0,United Kingdom
30592,538877,21212,PACK OF 72 RETROSPOT CAKE CASES,110,2010-12-14 15:29:00,2.13,,United Kingdom
30647,538877,22114,HOT WATER BOTTLE TEA AND SYMPATHY,104,2010-12-14 15:29:00,9.32,,United Kingdom
30656,538877,22355,CHARLOTTE BAG SUKI DESIGN,213,2010-12-14 15:29:00,2.51,,United Kingdom
30707,538877,84029E,RED WOOLLY HOTTIE WHITE HEART.,120,2010-12-14 15:29:00,8.47,,United Kingdom
31469,538991,22197,SMALL POPCORN HOLDER,200,2010-12-15 11:53:00,0.72,17511.0,United Kingdom
31470,538991,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31472,538991,22077,6 RIBBONS RUSTIC CHARM,144,2010-12-15 11:53:00,1.45,17511.0,United Kingdom
31476,538991,22585,PACK OF 6 BIRDY GIFT TAGS,144,2010-12-15 11:53:00,1.06,17511.0,United Kingdom
31494,538991,22257,FELT FARM ANIMAL SHEEP,144,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31495,538991,22258,FELT FARM ANIMAL RABBIT,144,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31496,538991,22259,FELT FARM ANIMAL HEN,144,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31497,538991,22264,FELT FARM ANIMAL WHITE BUNNY ,288,2010-12-15 11:53:00,0.19,17511.0,United Kingdom
31503,538991,70006,LOVE HEART POCKET WARMER,120,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31504,538991,70007,HI TEC ALPINE HAND WARMER,120,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31507,538991,22952,60 CAKE CASES VINTAGE CHRISTMAS,120,2010-12-15 11:53:00,0.42,17511.0,United Kingdom
31508,538991,20668,DISCO BALL CHRISTMAS DECORATION,576,2010-12-15 11:53:00,0.1,17511.0,United Kingdom
31595,538998,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2010-12-15 12:08:00,1.88,15061.0,United Kingdom
31787,539012,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31788,539012,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31789,539012,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31790,539012,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31791,539012,21670,BLUE SPOT CERAMIC DRAWER KNOB,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31792,539012,21671,RED SPOT CERAMIC DRAWER KNOB,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31793,539012,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
31794,539012,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,192,2010-12-15 13:26:00,0.85,17858.0,United Kingdom
32098,539041,17084R,ASSORTED INCENSE PACK,144,2010-12-15 15:34:00,0.21,15456.0,United Kingdom
32226,539048,16225,RATTLE SNAKE EGGS,192,2010-12-15 16:19:00,0.42,17752.0,United Kingdom
32458,539077,84949,SILVER HANGING T-LIGHT HOLDER,144,2010-12-16 08:05:00,1.45,13089.0,United Kingdom
32610,539096,84949,SILVER HANGING T-LIGHT HOLDER,216,2010-12-16 10:19:00,1.45,13089.0,United Kingdom
32661,539101,79321,CHILLI LIGHTS,200,2010-12-16 10:35:00,3.82,16029.0,United Kingdom
32662,539101,22780,LIGHT GARLAND BUTTERFILES PINK,200,2010-12-16 10:35:00,3.37,16029.0,United Kingdom
32663,539101,22779,WOODEN OWLS LIGHT GARLAND ,200,2010-12-16 10:35:00,3.37,16029.0,United Kingdom
32664,539101,22174,PHOTO CUBE,408,2010-12-16 10:35:00,1.25,16029.0,United Kingdom
32665,539101,22466,FAIRY TALE COTTAGE NIGHTLIGHT,408,2010-12-16 10:35:00,1.45,16029.0,United Kingdom
32666,539101,21731,RED TOADSTOOL LED NIGHT LIGHT,408,2010-12-16 10:35:00,1.25,16029.0,United Kingdom
32667,539101,85150,LADIES & GENTLEMEN METAL SIGN,144,2010-12-16 10:35:00,1.69,16029.0,United Kingdom
32668,539101,21166,COOK WITH WINE METAL SIGN ,144,2010-12-16 10:35:00,1.53,16029.0,United Kingdom
32669,539101,85152,HAND OVER THE CHOCOLATE   SIGN ,144,2010-12-16 10:35:00,1.53,16029.0,United Kingdom
32670,539101,21181,PLEASE ONE PERSON METAL SIGN,144,2010-12-16 10:35:00,1.85,16029.0,United Kingdom
32671,539101,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2010-12-16 10:35:00,0.94,16029.0,United Kingdom
32672,539102,22174,PHOTO CUBE,408,2010-12-16 10:37:00,1.25,16029.0,United Kingdom
32673,539102,85150,LADIES & GENTLEMEN METAL SIGN,144,2010-12-16 10:37:00,1.69,16029.0,United Kingdom
32674,539102,21181,PLEASE ONE PERSON METAL SIGN,144,2010-12-16 10:37:00,1.53,16029.0,United Kingdom
32675,539102,85152,HAND OVER THE CHOCOLATE   SIGN ,144,2010-12-16 10:37:00,1.53,16029.0,United Kingdom
32676,539102,21181,PLEASE ONE PERSON METAL SIGN,144,2010-12-16 10:37:00,1.65,16029.0,United Kingdom
32706,539106,22966,GINGERBREAD MAN COOKIE CUTTER,144,2010-12-16 10:51:00,1.06,16705.0,United Kingdom
32710,539106,79000,MOROCCAN TEA GLASS,144,2010-12-16 10:51:00,0.65,16705.0,United Kingdom
32720,539109,85123A,WHITE HANGING HEART T-LIGHT HOLDER,500,2010-12-16 11:07:00,2.55,16013.0,United Kingdom
32721,539109,20733,GOLD MINI TAPE MEASURE ,300,2010-12-16 11:07:00,0.72,16013.0,United Kingdom
33478,539257,21137,BLACK RECORD COVER FRAME,480,2010-12-16 14:29:00,3.39,16210.0,United Kingdom
